experiment,config_id,backbone,seed,data_version,task_type,outcome,test_cohort_rows,n_labeled,n_unlabeled,n_positive,source_artifact
exp1,meds_deciles_none_fusedFalse_discrete_time_tokens,llama,42,deciles_none_unfused_time_tokens_first_24h,regression,max_sodium,85057,59570,0,,/gpfs/data/bbj-lab/users/daniel/input-representation-benchmark/outputs/runs/tokenized/mimiciv-3.1_meds_70-10-20/deciles_none_unfused_time_tokens_first_24h-tokenized/test/reg_ridge_regression-preds-ml4h-exp1-24to48h-regression-ml4h_llama_exp1_meds_deciles_none_fusedFalse_discrete_time_tokens-s42-hp-deciles_none_unfused_time_tokens.pkl
exp1,meds_deciles_none_fusedFalse_discrete_time_tokens,llama,42,deciles_none_unfused_time_tokens_first_24h,regression,min_bnp,85057,1175,0,,/gpfs/data/bbj-lab/users/daniel/input-representation-benchmark/outputs/runs/tokenized/mimiciv-3.1_meds_70-10-20/deciles_none_unfused_time_tokens_first_24h-tokenized/test/reg_ridge_regression-preds-ml4h-exp1-24to48h-regression-ml4h_llama_exp1_meds_deciles_none_fusedFalse_discrete_time_tokens-s42-hp-deciles_none_unfused_time_tokens.pkl
exp1,meds_deciles_none_fusedFalse_discrete_time_tokens,llama,42,deciles_none_unfused_time_tokens_first_24h,regression,peak_bnp,85057,1175,0,,/gpfs/data/bbj-lab/users/daniel/input-representation-benchmark/outputs/runs/tokenized/mimiciv-3.1_meds_70-10-20/deciles_none_unfused_time_tokens_first_24h-tokenized/test/reg_ridge_regression-preds-ml4h-exp1-24to48h-regression-ml4h_llama_exp1_meds_deciles_none_fusedFalse_discrete_time_tokens-s42-hp-deciles_none_unfused_time_tokens.pkl
exp1,meds_deciles_none_fusedFalse_discrete_time_tokens,llama,42,deciles_none_unfused_time_tokens_first_24h,regression,min_heart_rate,85057,12016,0,,/gpfs/data/bbj-lab/users/daniel/input-representation-benchmark/outputs/runs/tokenized/mimiciv-3.1_meds_70-10-20/deciles_none_unfused_time_tokens_first_24h-tokenized/test/reg_ridge_regression-preds-ml4h-exp1-24to48h-regression-ml4h_llama_exp1_meds_deciles_none_fusedFalse_discrete_time_tokens-s42-hp-deciles_none_unfused_time_tokens.pkl
exp1,meds_deciles_none_fusedFalse_discrete_time_tokens,llama,42,deciles_none_unfused_time_tokens_first_24h,regression,max_heart_rate,85057,12016,0,,/gpfs/data/bbj-lab/users/daniel/input-representation-benchmark/outputs/runs/tokenized/mimiciv-3.1_meds_70-10-20/deciles_none_unfused_time_tokens_first_24h-tokenized/test/reg_ridge_regression-preds-ml4h-exp1-24to48h-regression-ml4h_llama_exp1_meds_deciles_none_fusedFalse_discrete_time_tokens-s42-hp-deciles_none_unfused_time_tokens.pkl
exp1,meds_deciles_none_fusedFalse_discrete_time_tokens,llama,42,deciles_none_unfused_time_tokens_first_24h,regression,min_sbp,85057,11973,0,,/gpfs/data/bbj-lab/users/daniel/input-representation-benchmark/outputs/runs/tokenized/mimiciv-3.1_meds_70-10-20/deciles_none_unfused_time_tokens_first_24h-tokenized/test/reg_ridge_regression-preds-ml4h-exp1-24to48h-regression-ml4h_llama_exp1_meds_deciles_none_fusedFalse_discrete_time_tokens-s42-hp-deciles_none_unfused_time_tokens.pkl
exp1,meds_deciles_none_fusedFalse_discrete_time_tokens,llama,42,deciles_none_unfused_time_tokens_first_24h,regression,max_sbp,85057,11973,0,,/gpfs/data/bbj-lab/users/daniel/input-representation-benchmark/outputs/runs/tokenized/mimiciv-3.1_meds_70-10-20/deciles_none_unfused_time_tokens_first_24h-tokenized/test/reg_ridge_regression-preds-ml4h-exp1-24to48h-regression-ml4h_llama_exp1_meds_deciles_none_fusedFalse_discrete_time_tokens-s42-hp-deciles_none_unfused_time_tokens.pkl
exp1,meds_deciles_none_fusedFalse_discrete_time_tokens,llama,42,deciles_none_unfused_time_tokens_first_24h,regression,min_dbp,85057,11973,0,,/gpfs/data/bbj-lab/users/daniel/input-representation-benchmark/outputs/runs/tokenized/mimiciv-3.1_meds_70-10-20/deciles_none_unfused_time_tokens_first_24h-tokenized/test/reg_ridge_regression-preds-ml4h-exp1-24to48h-regression-ml4h_llama_exp1_meds_deciles_none_fusedFalse_discrete_time_tokens-s42-hp-deciles_none_unfused_time_tokens.pkl
exp1,meds_deciles_none_fusedFalse_discrete_time_tokens,llama,42,deciles_none_unfused_time_tokens_first_24h,regression,max_dbp,85057,11973,0,,/gpfs/data/bbj-lab/users/daniel/input-representation-benchmark/outputs/runs/tokenized/mimiciv-3.1_meds_70-10-20/deciles_none_unfused_time_tokens_first_24h-tokenized/test/reg_ridge_regression-preds-ml4h-exp1-24to48h-regression-ml4h_llama_exp1_meds_deciles_none_fusedFalse_discrete_time_tokens-s42-hp-deciles_none_unfused_time_tokens.pkl
exp1,meds_deciles_none_fusedTrue_discrete_time_tokens,llama,42,deciles_none_fused_time_tokens_first_24h,binary,same_admission_death,85057,85057,0,238.0,/gpfs/data/bbj-lab/users/daniel/input-representation-benchmark/outputs/runs/tokenized/mimiciv-3.1_meds_70-10-20/deciles_none_fused_time_tokens_first_24h-tokenized/test/logistic_regression-preds-ml4h-exp1-24to48h-binary-ml4h_llama_exp1_meds_deciles_none_fusedTrue_discrete_time_tokens-s42-hp-deciles_none_fused_time_tokens.pkl
exp1,meds_deciles_none_fusedTrue_discrete_time_tokens,llama,42,deciles_none_fused_time_tokens_first_24h,binary,long_length_of_stay,85057,85057,0,66238.0,/gpfs/data/bbj-lab/users/daniel/input-representation-benchmark/outputs/runs/tokenized/mimiciv-3.1_meds_70-10-20/deciles_none_fused_time_tokens_first_24h-tokenized/test/logistic_regression-preds-ml4h-exp1-24to48h-binary-ml4h_llama_exp1_meds_deciles_none_fusedTrue_discrete_time_tokens-s42-hp-deciles_none_fused_time_tokens.pkl
exp1,meds_deciles_none_fusedTrue_discrete_time_tokens,llama,42,deciles_none_fused_time_tokens_first_24h,binary,icu_admission,85057,71949,0,1004.0,/gpfs/data/bbj-lab/users/daniel/input-representation-benchmark/outputs/runs/tokenized/mimiciv-3.1_meds_70-10-20/deciles_none_fused_time_tokens_first_24h-tokenized/test/logistic_regression-preds-ml4h-exp1-24to48h-binary-ml4h_llama_exp1_meds_deciles_none_fusedTrue_discrete_time_tokens-s42-hp-deciles_none_fused_time_tokens.pkl
exp1,meds_deciles_none_fusedTrue_discrete_time_tokens,llama,42,deciles_none_fused_time_tokens_first_24h,binary,imv_event,85057,83278,0,1153.0,/gpfs/data/bbj-lab/users/daniel/input-representation-benchmark/outputs/runs/tokenized/mimiciv-3.1_meds_70-10-20/deciles_none_fused_time_tokens_first_24h-tokenized/test/logistic_regression-preds-ml4h-exp1-24to48h-binary-ml4h_llama_exp1_meds_deciles_none_fusedTrue_discrete_time_tokens-s42-hp-deciles_none_fused_time_tokens.pkl
exp1,meds_deciles_none_fusedTrue_discrete_time_tokens,llama,42,deciles_none_fused_time_tokens_first_24h,binary,prolonged_icu_stay,85057,85057,0,8018.0,/gpfs/data/bbj-lab/users/daniel/input-representation-benchmark/outputs/runs/tokenized/mimiciv-3.1_meds_70-10-20/deciles_none_fused_time_tokens_first_24h-tokenized/test/logistic_regression-preds-ml4h-exp1-24to48h-binary-ml4h_llama_exp1_meds_deciles_none_fusedTrue_discrete_time_tokens-s42-hp-deciles_none_fused_time_tokens.pkl
exp1,meds_deciles_none_fusedTrue_discrete_time_tokens,llama,42,deciles_none_fused_time_tokens_first_24h,binary,hyperkalemia,85057,58971,0,158.0,/gpfs/data/bbj-lab/users/daniel/input-representation-benchmark/outputs/runs/tokenized/mimiciv-3.1_meds_70-10-20/deciles_none_fused_time_tokens_first_24h-tokenized/test/logistic_regression-preds-ml4h-exp1-24to48h-binary-ml4h_llama_exp1_meds_deciles_none_fusedTrue_discrete_time_tokens-s42-hp-deciles_none_fused_time_tokens.pkl
exp1,meds_deciles_none_fusedTrue_discrete_time_tokens,llama,42,deciles_none_fused_time_tokens_first_24h,binary,severe_hypokalemia,85057,59656,0,36.0,/gpfs/data/bbj-lab/users/daniel/input-representation-benchmark/outputs/runs/tokenized/mimiciv-3.1_meds_70-10-20/deciles_none_fused_time_tokens_first_24h-tokenized/test/logistic_regression-preds-ml4h-exp1-24to48h-binary-ml4h_llama_exp1_meds_deciles_none_fusedTrue_discrete_time_tokens-s42-hp-deciles_none_fused_time_tokens.pkl
exp1,meds_deciles_none_fusedTrue_discrete_time_tokens,llama,42,deciles_none_fused_time_tokens_first_24h,binary,severe_anemia,85057,57619,0,888.0,/gpfs/data/bbj-lab/users/daniel/input-representation-benchmark/outputs/runs/tokenized/mimiciv-3.1_meds_70-10-20/deciles_none_fused_time_tokens_first_24h-tokenized/test/logistic_regression-preds-ml4h-exp1-24to48h-binary-ml4h_llama_exp1_meds_deciles_none_fusedTrue_discrete_time_tokens-s42-hp-deciles_none_fused_time_tokens.pkl
exp1,meds_deciles_none_fusedTrue_discrete_time_tokens,llama,42,deciles_none_fused_time_tokens_first_24h,binary,hypoglycemia,85057,58499,0,325.0,/gpfs/data/bbj-lab/users/daniel/input-representation-benchmark/outputs/runs/tokenized/mimiciv-3.1_meds_70-10-20/deciles_none_fused_time_tokens_first_24h-tokenized/test/logistic_regression-preds-ml4h-exp1-24to48h-binary-ml4h_llama_exp1_meds_deciles_none_fusedTrue_discrete_time_tokens-s42-hp-deciles_none_fused_time_tokens.pkl
exp1,meds_deciles_none_fusedTrue_discrete_time_tokens,llama,42,deciles_none_fused_time_tokens_first_24h,binary,profound_hyponatremia,85057,59350,0,29.0,/gpfs/data/bbj-lab/users/daniel/input-representation-benchmark/outputs/runs/tokenized/mimiciv-3.1_meds_70-10-20/deciles_none_fused_time_tokens_first_24h-tokenized/test/logistic_regression-preds-ml4h-exp1-24to48h-binary-ml4h_llama_exp1_meds_deciles_none_fusedTrue_discrete_time_tokens-s42-hp-deciles_none_fused_time_tokens.pkl
exp1,meds_deciles_none_fusedTrue_discrete_time_tokens,llama,42,deciles_none_fused_time_tokens_first_24h,binary,severe_hypernatremia,85057,59502,0,16.0,/gpfs/data/bbj-lab/users/daniel/input-representation-benchmark/outputs/runs/tokenized/mimiciv-3.1_meds_70-10-20/deciles_none_fused_time_tokens_first_24h-tokenized/test/logistic_regression-preds-ml4h-exp1-24to48h-binary-ml4h_llama_exp1_meds_deciles_none_fusedTrue_discrete_time_tokens-s42-hp-deciles_none_fused_time_tokens.pkl
exp1,meds_deciles_none_fusedTrue_discrete_time_tokens,llama,42,deciles_none_fused_time_tokens_first_24h,binary,tachycardia_hr130,85057,10955,0,525.0,/gpfs/data/bbj-lab/users/daniel/input-representation-benchmark/outputs/runs/tokenized/mimiciv-3.1_meds_70-10-20/deciles_none_fused_time_tokens_first_24h-tokenized/test/logistic_regression-preds-ml4h-exp1-24to48h-binary-ml4h_llama_exp1_meds_deciles_none_fusedTrue_discrete_time_tokens-s42-hp-deciles_none_fused_time_tokens.pkl
exp1,meds_deciles_none_fusedTrue_discrete_time_tokens,llama,42,deciles_none_fused_time_tokens_first_24h,binary,severe_hypertension,85057,10580,0,783.0,/gpfs/data/bbj-lab/users/daniel/input-representation-benchmark/outputs/runs/tokenized/mimiciv-3.1_meds_70-10-20/deciles_none_fused_time_tokens_first_24h-tokenized/test/logistic_regression-preds-ml4h-exp1-24to48h-binary-ml4h_llama_exp1_meds_deciles_none_fusedTrue_discrete_time_tokens-s42-hp-deciles_none_fused_time_tokens.pkl
exp1,meds_deciles_none_fusedTrue_discrete_time_tokens,llama,42,deciles_none_fused_time_tokens_first_24h,binary,vasopressor_initiation,85057,82207,0,592.0,/gpfs/data/bbj-lab/users/daniel/input-representation-benchmark/outputs/runs/tokenized/mimiciv-3.1_meds_70-10-20/deciles_none_fused_time_tokens_first_24h-tokenized/test/logistic_regression-preds-ml4h-exp1-24to48h-binary-ml4h_llama_exp1_meds_deciles_none_fusedTrue_discrete_time_tokens-s42-hp-deciles_none_fused_time_tokens.pkl
exp1,meds_deciles_none_fusedTrue_discrete_time_tokens,llama,42,deciles_none_fused_time_tokens_first_24h,binary,hypotension,85057,5003,0,1863.0,/gpfs/data/bbj-lab/users/daniel/input-representation-benchmark/outputs/runs/tokenized/mimiciv-3.1_meds_70-10-20/deciles_none_fused_time_tokens_first_24h-tokenized/test/logistic_regression-preds-ml4h-exp1-24to48h-binary-ml4h_llama_exp1_meds_deciles_none_fusedTrue_discrete_time_tokens-s42-hp-deciles_none_fused_time_tokens.pkl
exp1,meds_deciles_none_fusedTrue_discrete_time_tokens,llama,42,deciles_none_fused_time_tokens_first_24h,binary,crrt_initiation,85057,84947,0,56.0,/gpfs/data/bbj-lab/users/daniel/input-representation-benchmark/outputs/runs/tokenized/mimiciv-3.1_meds_70-10-20/deciles_none_fused_time_tokens_first_24h-tokenized/test/logistic_regression-preds-ml4h-exp1-24to48h-binary-ml4h_llama_exp1_meds_deciles_none_fusedTrue_discrete_time_tokens-s42-hp-deciles_none_fused_time_tokens.pkl
