experiment,config_id,config_label,backbone,seed,model_loc,model_stem,data_version,test_cohort_rows,quantizer,anchoring,fusion,fused,representation,temporal,data_format,source
exp2,meds_deciles_none_fusedFalse_xval_time_tokens,xVal · Time tokens,llama,42,/gpfs/data/bbj-lab/users/daniel/input-representation-benchmark/outputs/runs/ml4h_2026/models/ml4h_llama_exp2_meds_deciles_none_fusedFalse_xval_time_tokens-xval-time_tokens-s42/model-xval-time_tokens,ml4h_llama_exp2_meds_deciles_none_fusedFalse_xval_time_tokens-xval-time_tokens-s42-model-xval-time_tokens,deciles_none_unfused_time_tokens_numencxval_first_24h,85057,deciles,none,unfused,False,xval,time_tokens,,
exp2,meds_deciles_none_fusedFalse_xval_time_rope,xVal · Time RoPE,llama,42,/gpfs/data/bbj-lab/users/daniel/input-representation-benchmark/outputs/runs/ml4h_2026/models/ml4h_llama_exp2_meds_deciles_none_fusedFalse_xval_time_rope-xval-time_rope-s42/model-xval-time_rope,ml4h_llama_exp2_meds_deciles_none_fusedFalse_xval_time_rope-xval-time_rope-s42-model-xval-time_rope,deciles_none_unfused_time_rope_numencxval_first_24h,85057,deciles,none,unfused,False,xval,time_rope,,
exp2,meds_deciles_none_fusedFalse_xval_affine_event_order,xVal-affine · Event order,llama,42,/gpfs/data/bbj-lab/users/daniel/input-representation-benchmark/outputs/runs/ml4h_2026/models/ml4h_llama_exp2_meds_deciles_none_fusedFalse_xval_affine_event_order-xval_affine-event_order-s42/model-xval_affine-event_order,ml4h_llama_exp2_meds_deciles_none_fusedFalse_xval_affine_event_order-xval_affine-event_order-s42-model-xval_affine-event_order,deciles_none_unfused_time_rope_numencxval_first_24h,85057,deciles,none,unfused,False,xval_affine,event_order,,
exp2,meds_deciles_none_fusedFalse_xval_affine_time_tokens,xVal-affine · Time tokens,llama,42,/gpfs/data/bbj-lab/users/daniel/input-representation-benchmark/outputs/runs/ml4h_2026/models/ml4h_llama_exp2_meds_deciles_none_fusedFalse_xval_affine_time_tokens-xval_affine-time_tokens-s42/model-xval_affine-time_tokens,ml4h_llama_exp2_meds_deciles_none_fusedFalse_xval_affine_time_tokens-xval_affine-time_tokens-s42-model-xval_affine-time_tokens,deciles_none_unfused_time_tokens_numencxval_first_24h,85057,deciles,none,unfused,False,xval_affine,time_tokens,,
exp2,meds_deciles_none_fusedFalse_xval_affine_time_rope,xVal-affine · Time RoPE,llama,42,/gpfs/data/bbj-lab/users/daniel/input-representation-benchmark/outputs/runs/ml4h_2026/models/ml4h_llama_exp2_meds_deciles_none_fusedFalse_xval_affine_time_rope-xval_affine-time_rope-s42/model-xval_affine-time_rope,ml4h_llama_exp2_meds_deciles_none_fusedFalse_xval_affine_time_rope-xval_affine-time_rope-s42-model-xval_affine-time_rope,deciles_none_unfused_time_rope_numencxval_first_24h,85057,deciles,none,unfused,False,xval_affine,time_rope,,
exp2,meds_deciles_none_fusedFalse_discrete_event_order,Discrete · Event order,llama,43,/gpfs/data/bbj-lab/users/daniel/input-representation-benchmark/outputs/runs/ml4h_2026/models/ml4h_llama_exp2_meds_deciles_none_fusedFalse_discrete_event_order-discrete-event_order-s43/model-discrete-event_order,ml4h_llama_exp2_meds_deciles_none_fusedFalse_discrete_event_order-discrete-event_order-s43-model-discrete-event_order,deciles_none_unfused_time_rope_first_24h,85057,deciles,none,unfused,False,discrete,event_order,,
exp2,meds_deciles_none_fusedFalse_discrete_time_tokens,Discrete · Time tokens,llama,43,/gpfs/data/bbj-lab/users/daniel/input-representation-benchmark/outputs/runs/ml4h_2026/models/ml4h_llama_exp2_meds_deciles_none_fusedFalse_discrete_time_tokens-discrete-time_tokens-s43/model-discrete-time_tokens,ml4h_llama_exp2_meds_deciles_none_fusedFalse_discrete_time_tokens-discrete-time_tokens-s43-model-discrete-time_tokens,deciles_none_unfused_time_tokens_first_24h,85057,deciles,none,unfused,False,discrete,time_tokens,,
exp2,meds_deciles_none_fusedFalse_discrete_time_rope,Discrete · Time RoPE,llama,43,/gpfs/data/bbj-lab/users/daniel/input-representation-benchmark/outputs/runs/ml4h_2026/models/ml4h_llama_exp2_meds_deciles_none_fusedFalse_discrete_time_rope-discrete-time_rope-s43/model-discrete-time_rope,ml4h_llama_exp2_meds_deciles_none_fusedFalse_discrete_time_rope-discrete-time_rope-s43-model-discrete-time_rope,deciles_none_unfused_time_rope_first_24h,85057,deciles,none,unfused,False,discrete,time_rope,,
exp2,meds_deciles_none_fusedFalse_soft_event_order,Soft · Event order,llama,43,/gpfs/data/bbj-lab/users/daniel/input-representation-benchmark/outputs/runs/ml4h_2026/models/ml4h_llama_exp2_meds_deciles_none_fusedFalse_soft_event_order-soft-event_order-s43/model-soft-event_order,ml4h_llama_exp2_meds_deciles_none_fusedFalse_soft_event_order-soft-event_order-s43-model-soft-event_order,deciles_none_unfused_time_rope_first_24h,85057,deciles,none,unfused,False,soft,event_order,,
exp2,meds_deciles_none_fusedFalse_soft_time_tokens,Soft · Time tokens,llama,43,/gpfs/data/bbj-lab/users/daniel/input-representation-benchmark/outputs/runs/ml4h_2026/models/ml4h_llama_exp2_meds_deciles_none_fusedFalse_soft_time_tokens-soft-time_tokens-s43/model-soft-time_tokens,ml4h_llama_exp2_meds_deciles_none_fusedFalse_soft_time_tokens-soft-time_tokens-s43-model-soft-time_tokens,deciles_none_unfused_time_tokens_first_24h,85057,deciles,none,unfused,False,soft,time_tokens,,
exp2,meds_deciles_none_fusedFalse_soft_time_rope,Soft · Time RoPE,llama,43,/gpfs/data/bbj-lab/users/daniel/input-representation-benchmark/outputs/runs/ml4h_2026/models/ml4h_llama_exp2_meds_deciles_none_fusedFalse_soft_time_rope-soft-time_rope-s43/model-soft-time_rope,ml4h_llama_exp2_meds_deciles_none_fusedFalse_soft_time_rope-soft-time_rope-s43-model-soft-time_rope,deciles_none_unfused_time_rope_first_24h,85057,deciles,none,unfused,False,soft,time_rope,,
exp2,meds_deciles_none_fusedFalse_xval_event_order,xVal · Event order,llama,43,/gpfs/data/bbj-lab/users/daniel/input-representation-benchmark/outputs/runs/ml4h_2026/models/ml4h_llama_exp2_meds_deciles_none_fusedFalse_xval_event_order-xval-event_order-s43/model-xval-event_order,ml4h_llama_exp2_meds_deciles_none_fusedFalse_xval_event_order-xval-event_order-s43-model-xval-event_order,deciles_none_unfused_time_rope_numencxval_first_24h,85057,deciles,none,unfused,False,xval,event_order,,
exp2,meds_deciles_none_fusedFalse_xval_time_tokens,xVal · Time tokens,llama,43,/gpfs/data/bbj-lab/users/daniel/input-representation-benchmark/outputs/runs/ml4h_2026/models/ml4h_llama_exp2_meds_deciles_none_fusedFalse_xval_time_tokens-xval-time_tokens-s43/model-xval-time_tokens,ml4h_llama_exp2_meds_deciles_none_fusedFalse_xval_time_tokens-xval-time_tokens-s43-model-xval-time_tokens,deciles_none_unfused_time_tokens_numencxval_first_24h,85057,deciles,none,unfused,False,xval,time_tokens,,
exp2,meds_deciles_none_fusedFalse_xval_time_rope,xVal · Time RoPE,llama,43,/gpfs/data/bbj-lab/users/daniel/input-representation-benchmark/outputs/runs/ml4h_2026/models/ml4h_llama_exp2_meds_deciles_none_fusedFalse_xval_time_rope-xval-time_rope-s43/model-xval-time_rope,ml4h_llama_exp2_meds_deciles_none_fusedFalse_xval_time_rope-xval-time_rope-s43-model-xval-time_rope,deciles_none_unfused_time_rope_numencxval_first_24h,85057,deciles,none,unfused,False,xval,time_rope,,
exp2,meds_deciles_none_fusedFalse_xval_affine_event_order,xVal-affine · Event order,llama,43,/gpfs/data/bbj-lab/users/daniel/input-representation-benchmark/outputs/runs/ml4h_2026/models/ml4h_llama_exp2_meds_deciles_none_fusedFalse_xval_affine_event_order-xval_affine-event_order-s43/model-xval_affine-event_order,ml4h_llama_exp2_meds_deciles_none_fusedFalse_xval_affine_event_order-xval_affine-event_order-s43-model-xval_affine-event_order,deciles_none_unfused_time_rope_numencxval_first_24h,85057,deciles,none,unfused,False,xval_affine,event_order,,
exp2,meds_deciles_none_fusedFalse_xval_affine_time_tokens,xVal-affine · Time tokens,llama,43,/gpfs/data/bbj-lab/users/daniel/input-representation-benchmark/outputs/runs/ml4h_2026/models/ml4h_llama_exp2_meds_deciles_none_fusedFalse_xval_affine_time_tokens-xval_affine-time_tokens-s43/model-xval_affine-time_tokens,ml4h_llama_exp2_meds_deciles_none_fusedFalse_xval_affine_time_tokens-xval_affine-time_tokens-s43-model-xval_affine-time_tokens,deciles_none_unfused_time_tokens_numencxval_first_24h,85057,deciles,none,unfused,False,xval_affine,time_tokens,,
exp2,meds_deciles_none_fusedFalse_xval_affine_time_rope,xVal-affine · Time RoPE,llama,43,/gpfs/data/bbj-lab/users/daniel/input-representation-benchmark/outputs/runs/ml4h_2026/models/ml4h_llama_exp2_meds_deciles_none_fusedFalse_xval_affine_time_rope-xval_affine-time_rope-s43/model-xval_affine-time_rope,ml4h_llama_exp2_meds_deciles_none_fusedFalse_xval_affine_time_rope-xval_affine-time_rope-s43-model-xval_affine-time_rope,deciles_none_unfused_time_rope_numencxval_first_24h,85057,deciles,none,unfused,False,xval_affine,time_rope,,
exp2,meds_deciles_none_fusedFalse_discrete_event_order,Discrete · Event order,llama,44,/gpfs/data/bbj-lab/users/daniel/input-representation-benchmark/outputs/runs/ml4h_2026/models/ml4h_llama_exp2_meds_deciles_none_fusedFalse_discrete_event_order-discrete-event_order-s44/model-discrete-event_order,ml4h_llama_exp2_meds_deciles_none_fusedFalse_discrete_event_order-discrete-event_order-s44-model-discrete-event_order,deciles_none_unfused_time_rope_first_24h,85057,deciles,none,unfused,False,discrete,event_order,,
exp2,meds_deciles_none_fusedFalse_discrete_time_tokens,Discrete · Time tokens,llama,44,/gpfs/data/bbj-lab/users/daniel/input-representation-benchmark/outputs/runs/ml4h_2026/models/ml4h_llama_exp2_meds_deciles_none_fusedFalse_discrete_time_tokens-discrete-time_tokens-s44/model-discrete-time_tokens,ml4h_llama_exp2_meds_deciles_none_fusedFalse_discrete_time_tokens-discrete-time_tokens-s44-model-discrete-time_tokens,deciles_none_unfused_time_tokens_first_24h,85057,deciles,none,unfused,False,discrete,time_tokens,,
exp2,meds_deciles_none_fusedFalse_discrete_time_rope,Discrete · Time RoPE,llama,44,/gpfs/data/bbj-lab/users/daniel/input-representation-benchmark/outputs/runs/ml4h_2026/models/ml4h_llama_exp2_meds_deciles_none_fusedFalse_discrete_time_rope-discrete-time_rope-s44/model-discrete-time_rope,ml4h_llama_exp2_meds_deciles_none_fusedFalse_discrete_time_rope-discrete-time_rope-s44-model-discrete-time_rope,deciles_none_unfused_time_rope_first_24h,85057,deciles,none,unfused,False,discrete,time_rope,,
exp2,meds_deciles_none_fusedFalse_soft_event_order,Soft · Event order,llama,44,/gpfs/data/bbj-lab/users/daniel/input-representation-benchmark/outputs/runs/ml4h_2026/models/ml4h_llama_exp2_meds_deciles_none_fusedFalse_soft_event_order-soft-event_order-s44/model-soft-event_order,ml4h_llama_exp2_meds_deciles_none_fusedFalse_soft_event_order-soft-event_order-s44-model-soft-event_order,deciles_none_unfused_time_rope_first_24h,85057,deciles,none,unfused,False,soft,event_order,,
exp2,meds_deciles_none_fusedFalse_soft_time_tokens,Soft · Time tokens,llama,44,/gpfs/data/bbj-lab/users/daniel/input-representation-benchmark/outputs/runs/ml4h_2026/models/ml4h_llama_exp2_meds_deciles_none_fusedFalse_soft_time_tokens-soft-time_tokens-s44/model-soft-time_tokens,ml4h_llama_exp2_meds_deciles_none_fusedFalse_soft_time_tokens-soft-time_tokens-s44-model-soft-time_tokens,deciles_none_unfused_time_tokens_first_24h,85057,deciles,none,unfused,False,soft,time_tokens,,
exp2,meds_deciles_none_fusedFalse_soft_time_rope,Soft · Time RoPE,llama,44,/gpfs/data/bbj-lab/users/daniel/input-representation-benchmark/outputs/runs/ml4h_2026/models/ml4h_llama_exp2_meds_deciles_none_fusedFalse_soft_time_rope-soft-time_rope-s44/model-soft-time_rope,ml4h_llama_exp2_meds_deciles_none_fusedFalse_soft_time_rope-soft-time_rope-s44-model-soft-time_rope,deciles_none_unfused_time_rope_first_24h,85057,deciles,none,unfused,False,soft,time_rope,,
exp2,meds_deciles_none_fusedFalse_xval_event_order,xVal · Event order,llama,44,/gpfs/data/bbj-lab/users/daniel/input-representation-benchmark/outputs/runs/ml4h_2026/models/ml4h_llama_exp2_meds_deciles_none_fusedFalse_xval_event_order-xval-event_order-s44/model-xval-event_order,ml4h_llama_exp2_meds_deciles_none_fusedFalse_xval_event_order-xval-event_order-s44-model-xval-event_order,deciles_none_unfused_time_rope_numencxval_first_24h,85057,deciles,none,unfused,False,xval,event_order,,
exp2,meds_deciles_none_fusedFalse_xval_time_tokens,xVal · Time tokens,llama,44,/gpfs/data/bbj-lab/users/daniel/input-representation-benchmark/outputs/runs/ml4h_2026/models/ml4h_llama_exp2_meds_deciles_none_fusedFalse_xval_time_tokens-xval-time_tokens-s44/model-xval-time_tokens,ml4h_llama_exp2_meds_deciles_none_fusedFalse_xval_time_tokens-xval-time_tokens-s44-model-xval-time_tokens,deciles_none_unfused_time_tokens_numencxval_first_24h,85057,deciles,none,unfused,False,xval,time_tokens,,
exp2,meds_deciles_none_fusedFalse_xval_time_rope,xVal · Time RoPE,llama,44,/gpfs/data/bbj-lab/users/daniel/input-representation-benchmark/outputs/runs/ml4h_2026/models/ml4h_llama_exp2_meds_deciles_none_fusedFalse_xval_time_rope-xval-time_rope-s44/model-xval-time_rope,ml4h_llama_exp2_meds_deciles_none_fusedFalse_xval_time_rope-xval-time_rope-s44-model-xval-time_rope,deciles_none_unfused_time_rope_numencxval_first_24h,85057,deciles,none,unfused,False,xval,time_rope,,
exp2,meds_deciles_none_fusedFalse_xval_affine_event_order,xVal-affine · Event order,llama,44,/gpfs/data/bbj-lab/users/daniel/input-representation-benchmark/outputs/runs/ml4h_2026/models/ml4h_llama_exp2_meds_deciles_none_fusedFalse_xval_affine_event_order-xval_affine-event_order-s44/model-xval_affine-event_order,ml4h_llama_exp2_meds_deciles_none_fusedFalse_xval_affine_event_order-xval_affine-event_order-s44-model-xval_affine-event_order,deciles_none_unfused_time_rope_numencxval_first_24h,85057,deciles,none,unfused,False,xval_affine,event_order,,
exp2,meds_deciles_none_fusedFalse_xval_affine_time_tokens,xVal-affine · Time tokens,llama,44,/gpfs/data/bbj-lab/users/daniel/input-representation-benchmark/outputs/runs/ml4h_2026/models/ml4h_llama_exp2_meds_deciles_none_fusedFalse_xval_affine_time_tokens-xval_affine-time_tokens-s44/model-xval_affine-time_tokens,ml4h_llama_exp2_meds_deciles_none_fusedFalse_xval_affine_time_tokens-xval_affine-time_tokens-s44-model-xval_affine-time_tokens,deciles_none_unfused_time_tokens_numencxval_first_24h,85057,deciles,none,unfused,False,xval_affine,time_tokens,,
exp2,meds_deciles_none_fusedFalse_xval_affine_time_rope,xVal-affine · Time RoPE,llama,44,/gpfs/data/bbj-lab/users/daniel/input-representation-benchmark/outputs/runs/ml4h_2026/models/ml4h_llama_exp2_meds_deciles_none_fusedFalse_xval_affine_time_rope-xval_affine-time_rope-s44/model-xval_affine-time_rope,ml4h_llama_exp2_meds_deciles_none_fusedFalse_xval_affine_time_rope-xval_affine-time_rope-s44-model-xval_affine-time_rope,deciles_none_unfused_time_rope_numencxval_first_24h,85057,deciles,none,unfused,False,xval_affine,time_rope,,
